Entry	Entry Name
A2AJB7	LCN5_MOUSE
A2AJI0	MA7D1_MOUSE
A2AJK6	CHD7_MOUSE
A2AJN7	S4A11_MOUSE
A2AJX4	MALR1_MOUSE
A2AKK5	ACNT1_MOUSE
A2AKQ0	S35D1_MOUSE
A2AKX3	SETX_MOUSE
A2AL36	CNTRL_MOUSE
A2ALS5	RPGP1_MOUSE
A2ALU4	SHRM2_MOUSE
A2ALV5	SHOC1_MOUSE
A2AM05	CNTLN_MOUSE
A2AM29	AF9_MOUSE
A2AMM0	CAVN4_MOUSE
A2AMT1	BFSP1_MOUSE
A2AN08	UBR4_MOUSE
A2ANU3	SYNG1_MOUSE
A2AP18	PLCH2_MOUSE
A2APB8	TPX2_MOUSE
A2APC3	TTLL9_MOUSE
A2APF3	CTCFL_MOUSE
A2APM2	A2APM2_MOUSE
A2APX8	SCN1A_MOUSE
A2AQ07	TBB1_MOUSE
A2AQ19	RTF1_MOUSE
A2AQ25	SKT_MOUSE
A2AQ92	A2AQ92_MOUSE
A2AQ99	A2AQ99_MOUSE
A2AR95	LRAD3_MOUSE
A2ARA8	ITA8_MOUSE
A2ARI4	LGR4_MOUSE
A2ARP1	VIP1_MOUSE
A2ARP9	CTSR2_MOUSE
A2ARV4	LRP2_MOUSE
A2AS55	ANR16_MOUSE
A2AS89	GDAH_MOUSE
A2ASI5	SCN3A_MOUSE
A2ASQ1	AGRIN_MOUSE
A2ASS6	TITIN_MOUSE
A2ASZ8	SCMC2_MOUSE
A2AT37	RENT2_MOUSE
A2AT91	A2AT91_MOUSE
A2AU37	RD21L_MOUSE
A2AU72	ARMC3_MOUSE
A2AUC9	KLH41_MOUSE
A2AUM9	CE152_MOUSE
A2AUU0	METL8_MOUSE
A2AVA0	SVEP1_MOUSE
A2AVZ9	S43A3_MOUSE
A2AWL7	MGAP_MOUSE
A2AWP0	BIRC7_MOUSE
A2AX52	CO6A4_MOUSE
A2BDD9	A2BDD9_HUMAN
A2BDE7	A2BDE7_HUMAN
A2BDX3	MOCS3_MOUSE
A2BH40	ARI1A_MOUSE
A2CF85	A2CF85_MOUSE
A2CF88	A2CF88_MOUSE
A2CG49	KALRN_MOUSE
A2CG63	ARI4B_MOUSE
A2I2P0	A2I2P0_HUMAN
A2IDD5	CCD78_HUMAN
A2PYH4	HFM1_HUMAN
A2RRN7	A2RRN7_HUMAN
A2RRP1	NBAS_HUMAN
A2RRU4	SCAP_RAT
A2RSS9	A2RSS9_MOUSE
A2RST1	MGST2_MOUSE
A2RSY1	KANL3_MOUSE
A2RSY6	TRM1L_MOUSE
A2RT67	DEND3_MOUSE
A2RTF1	CTSRB_MOUSE
A2RTX5	SYTC2_HUMAN
A2RU14	TM218_HUMAN
A2RU30	TESP1_HUMAN
A2RU49	HYKK_HUMAN
A2RUB1	MEIOC_HUMAN
A2RUB6	CCD66_HUMAN
A2RUC4	TYW5_HUMAN
A2RUH7	MBPHL_HUMAN
A2RUV9	AEBP1_RAT
A2RUW1	TOLIP_RAT
A2TGX5	CLM8_RAT
A2VCW5	S38A5_RAT
A2VD12	PBIP1_RAT
A2VDH4	A2VDH4_MOUSE
A2VDJ0	T131L_HUMAN
A2VEC9	SSPO_HUMAN
A3FIN4	AT8B5_MOUSE
A3KFJ0	A3KFJ0_HUMAN
A3KFM7	CHD6_MOUSE
A3KFX0	5NT1A_MOUSE
A3KG59	P20D2_MOUSE
A3KG93	A3KG93_MOUSE
A3KGF7	PLCB2_MOUSE
A3KGS3	RGPA2_MOUSE
A3KGV1	ODFP2_MOUSE
A3KMH1	VWA8_HUMAN
A3KMN0	A3KMN0_MOUSE
A3QNQ0	A3QNQ0_HUMAN
A4D0S4	LAMB4_HUMAN
